p,r,G4,d,d_factors,pure_iii,obstruction,blocking_q,blocking_class
443,489333371,57,0,,False,order_excess,0,
1181,59051,57,0,,False,order_excess,0,
1481,145139,177,0,,False,order_excess,0,
4721,74525707,67,0,,False,order_excess,0,
5531,3528779,1713,0,,False,order_excess,0,
6449,12899,129,0,,False,order_excess,0,
8093,16187,57,0,,False,order_excess,0,
9371,1781820683,171,0,,False,order_excess,0,
10061,20123,129,0,,False,order_excess,0,
14249,28499,57,0,,False,order_excess,0,
14627,30394907,171,0,,False,order_excess,0,
16301,32603,57,0,,False,order_excess,0,
17333,34667,321,0,,False,order_excess,0,
17669,35339,57,0,,False,order_excess,0,
21017,23244803,99,0,,False,order_excess,0,
21089,42179,57,0,,False,order_excess,0,
21149,1565027,129,0,,False,order_excess,0,
23117,1155851,993,0,,False,order_excess,0,
24509,49019,2451,0,,False,order_excess,0,
25841,51683,177,0,,False,order_excess,0,
31907,73194659,99,0,,False,order_excess,0,
34157,26758115603,99,0,,False,order_excess,0,
34211,1026331,379,0,,False,order_excess,0,
34841,428195891,129,0,,False,order_excess,0,
36821,73643,57,0,,False,order_excess,0,
38189,76379,57,0,,False,order_excess,0,
38351,16184123,171,0,,False,order_excess,0,
38873,77747,57,0,,False,order_excess,0,
41609,83219,57,0,,False,order_excess,0,
42221,117627707,57,0,,False,order_excess,0,
43499,608987,57,0,,False,order_excess,0,
43661,87323,57,0,,False,order_excess,0,
44777,28030403,993,0,,False,order_excess,0,
45137,4423427,171,0,,False,order_excess,0,
45887,642419,129,0,,False,order_excess,0,
46181,92363,129,0,,False,order_excess,0,
46559,83340611,171,0,,False,order_excess,0,
49223,1185585179,57,0,,False,order_excess,0,
52553,105107,57,0,,False,order_excess,0,
53699,3124744811,129,0,,False,order_excess,0,
59393,118787,57,0,,False,order_excess,0,
60761,121523,57,0,,False,order_excess,0,
68087,122965123,179,0,,False,order_excess,0,
68213,14324731,107,0,,False,order_excess,0,
68483,139020491,57,0,,False,order_excess,0,
71039,129301635851,81,0,,False,order_excess,0,
72461,20296760867,171,0,,False,order_excess,0,
75209,1353763,107,0,,False,order_excess,0,
76403,68915507,57,0,,False,order_excess,0,
81017,28680019,67,0,,False,order_excess,0,
81281,162563,57,0,,False,order_excess,0,
81293,2122885403,129,0,,False,order_excess,0,
81929,6062747,57,0,,False,order_excess,0,
83137,4634555203,131,0,,False,order_excess,0,
88643,1241003,57,0,,False,order_excess,0,
90173,180347,57,0,,False,order_excess,0,
93113,186227,2217,0,,False,order_excess,0,
94583,567499,227,0,,False,order_excess,0,
95027,2473552811,129,0,,False,order_excess,0,
100361,200723,129,0,,False,order_excess,0,
101477,2638403,747,0,,False,order_excess,0,
101747,13588311851,171,0,,False,order_excess,0,
105977,13584767723,99,0,,False,order_excess,0,
106427,1489979,57,0,,False,order_excess,0,
106487,47493203,10923,0,,False,order_excess,0,
112253,201381883,3163,0,,False,order_excess,0,
115319,1614467,57,0,,False,order_excess,0,
118739,1662347,57,0,,False,order_excess,0,
119569,3266864219,59,0,,False,order_excess,0,
119747,35891289323,297,0,,False,order_excess,0,
121937,108523931,363,0,,False,order_excess,0,
126227,757363,6529,0,,False,order_excess,0,
132491,179922779,171,0,,False,order_excess,0,
133949,267899,57,0,,False,order_excess,0,
134507,131009819,129,0,,False,order_excess,0,
134909,968376803,1401,0,,False,order_excess,0,
135841,2445139,683,0,,False,order_excess,0,
137239,26075411,467,0,,False,order_excess,0,
137369,274739,57,0,,False,order_excess,0,
142193,3697019,171,0,,False,order_excess,0,
145289,1304404643,57,0,,False,order_excess,0,
145721,291443,489,0,,False,order_excess,0,
147629,295259,57,0,,False,order_excess,0,
148157,64300139,633,0,,False,order_excess,0,
148367,40200038651,57,0,,False,order_excess,0,
148711,17546410891,2459,0,,False,order_excess,0,
155717,2802907,331,0,,False,order_excess,0,
155801,7790051,129,0,,False,order_excess,0,
157889,315779,57,0,,False,order_excess,0,
159779,2236907,57,0,,False,order_excess,0,
163973,8198651,57,0,,False,order_excess,0,
166781,333563,57,0,,False,order_excess,0,
167429,40517819,243,0,,False,order_excess,0,
167917,50212892179,121,0,,False,order_excess,0,
170111,270409466267,171,0,,False,order_excess,0,
175673,351347,57,0,,False,order_excess,0,
178817,210646427,393,0,,False,order_excess,0,
179527,25084589603,251,0,,False,order_excess,0,
182981,3056880587,57,0,,False,order_excess,0,
183713,367427,201,0,,False,order_excess,0,
185873,282021757187,129,0,,False,order_excess,0,
186437,546260411,57,0,,False,order_excess,0,
187067,200521981043,1881,0,,False,order_excess,0,
192791,289572083,171,0,,False,order_excess,0,
198769,397935539,227,0,,False,order_excess,0,
201401,402803,201,0,,False,order_excess,0,
202393,16596227,59,0,,False,order_excess,0,
204461,408923,921,0,,False,order_excess,0,
207497,20334707,963,0,,False,order_excess,0,
207821,415643,57,0,,False,order_excess,0,
210803,6324091,59,0,,False,order_excess,0,
217667,29167379,99,0,,False,order_excess,0,
219881,32102627,57,0,,False,order_excess,0,
221489,442979,321,0,,False,order_excess,0,
224327,304636067,99,0,,False,order_excess,0,
226657,2266571,121,0,,False,order_excess,0,
228197,562733803,67,0,,False,order_excess,0,
228251,237617964539,171,0,,False,order_excess,0,
228341,456683,57,0,,False,order_excess,0,
230393,460787,2451,0,,False,order_excess,0,
234947,94711364747,99,0,,False,order_excess,0,
237019,2913911587,59,0,,False,order_excess,0,
241337,336423779,99,0,,False,order_excess,0,
243227,3405179,57,0,,False,order_excess,0,
248231,86161476563,171,0,,False,order_excess,0,
257177,969557291,99,0,,False,order_excess,0,
257189,136310171,129,0,,False,order_excess,0,
263909,527819,57,0,,False,order_excess,0,
264179,10794882299,57,0,,False,order_excess,0,
269117,60726251051,201,0,,False,order_excess,0,
270587,3788219,57,0,,False,order_excess,0,
274853,549707,57,0,,False,order_excess,0,
274889,28962854819,171,0,,False,order_excess,0,
275147,300198033763,131,0,,False,order_excess,0,
281531,61240312307,57,0,,False,order_excess,0,
282683,193920539,129,0,,False,order_excess,0,
285221,27951659,171,0,,False,order_excess,0,
287387,151266147451,281,0,,False,order_excess,0,
287849,575699,57,0,,False,order_excess,0,
300719,47513603,57,0,,False,order_excess,0,
302213,604427,57,0,,False,order_excess,0,
303581,607163,57,0,,False,order_excess,0,
309469,47658227,107,0,,False,order_excess,0,
313517,971275667,627,0,,False,order_excess,0,
313883,3108069467,417,0,,False,order_excess,0,
315617,17298967771,107,0,,False,order_excess,0,
316373,632747,201,0,,False,order_excess,0,
317957,237195923,993,0,,False,order_excess,0,
317957,9925981627,683,0,,False,order_excess,0,
318161,166080043,59,0,,False,order_excess,0,
318287,269020628419,67,0,,False,order_excess,0,
319547,9586411,209,0,,False,order_excess,0,
320693,641387,129,0,,False,order_excess,0,
321617,510084563,627,0,,False,order_excess,0,
325747,1954483,83,0,,False,order_excess,0,
325883,486044718011,171,0,,False,order_excess,0,
332309,664619,57,0,,False,order_excess,0,
332417,40959757907,171,0,,False,order_excess,0,
333647,77421451763,177,0,,False,order_excess,0,
333821,667643,177,0,,False,order_excess,0,
336079,9033131363,83,0,,False,order_excess,0,
336653,469294283,249,0,,False,order_excess,0,
337457,20758329899,99,0,,False,order_excess,0,
340793,5971374947,417,0,,False,order_excess,0,
342521,63708907,59,0,,False,order_excess,0,
344857,644171494867,31163,0,,False,order_excess,0,
346331,599728232123,171,0,,False,order_excess,0,
346667,2080003,331,0,,False,order_excess,0,
347987,16003922131,7513,0,,False,order_excess,0,
351749,703499,201,0,,False,order_excess,0,
352237,96512939,131,0,,False,order_excess,0,
353201,706403,129,0,,False,order_excess,0,
356969,713939,489,0,,False,order_excess,0,
357667,19314019,121,0,,False,order_excess,0,
360803,560049240691,139,0,,False,order_excess,0,
360827,2164963,307,0,,False,order_excess,0,
366941,139100728163,57,0,,False,order_excess,0,
370451,36999904979,57,0,,False,order_excess,0,
370613,741227,57,0,,False,order_excess,0,
373187,5224619,57,0,,False,order_excess,0,
375113,117785483,171,0,,False,order_excess,0,
375923,5262923,57,0,,False,order_excess,0,
378083,97602126451,67,0,,False,order_excess,0,
383987,2303923,107,0,,False,order_excess,0,
384701,914818979,129,0,,False,order_excess,0,
385391,160408212803,171,0,,False,order_excess,0,
390407,14835467,921,0,,False,order_excess,0,
391133,782267,57,0,,False,order_excess,0,
392177,320800787,1881,0,,False,order_excess,0,
393311,203735099,57,0,,False,order_excess,0,
396443,5550203,57,0,,False,order_excess,0,
397289,794579,57,0,,False,order_excess,0,
397973,795947,57,0,,False,order_excess,0,
399107,1040072843,57,0,,False,order_excess,0,
400087,700152251,491,0,,False,order_excess,0,
401393,802787,57,0,,False,order_excess,0,
402341,10460867,129,0,,False,order_excess,0,
402761,805523,57,0,,False,order_excess,0,
409781,819563,489,0,,False,order_excess,0,
413129,40486643,171,0,,False,order_excess,0,
415949,831899,177,0,,False,order_excess,0,
416441,832883,57,0,,False,order_excess,0,
420191,597456977171,201,0,,False,order_excess,0,
423281,846563,57,0,,False,order_excess,0,
424091,6408015011,171,0,,False,order_excess,0,
424481,11036507,201,0,,False,order_excess,0,
430289,860579,2049,0,,False,order_excess,0,
432857,198248507,171,0,,False,order_excess,0,
434081,22555716923,57,0,,False,order_excess,0,
434909,869819,57,0,,False,order_excess,0,
438671,2632027,67,0,,False,order_excess,0,
440177,22008851,993,0,,False,order_excess,0,
440651,122500979,171,0,,False,order_excess,0,
445853,891707,57,0,,False,order_excess,0,
450929,487905179,57,0,,False,order_excess,0,
452009,904019,57,0,,False,order_excess,0,
454763,60938243,513,0,,False,order_excess,0,
457013,914027,177,0,,False,order_excess,0,
460217,12533549779,281,0,,False,order_excess,0,
460829,37217471699,57,0,,False,order_excess,0,
461561,923123,129,0,,False,order_excess,0,
464089,61947527899,59,0,,False,order_excess,0,
464279,136498027,67,0,,False,order_excess,0,
465917,8386507,179,0,,False,order_excess,0,
468137,88351496011,2473,0,,False,order_excess,0,
468323,310029827,129,0,,False,order_excess,0,
468353,23417651,57,0,,False,order_excess,0,
468551,29050163,171,0,,False,order_excess,0,
471671,14150131,67,0,,False,order_excess,0,
473321,65318299,67,0,,False,order_excess,0,
478001,956003,57,0,,False,order_excess,0,
482519,49216939,16297,0,,False,order_excess,0,
483347,2900083,209,0,,False,order_excess,0,
490421,48061259,171,0,,False,order_excess,0,
497153,994307,57,0,,False,order_excess,0,
498521,997043,57,0,,False,order_excess,0,
498931,22950827,83,0,,False,order_excess,0,
501779,7024907,57,0,,False,order_excess,0,
502553,1005107,1137,0,,False,order_excess,0,
503351,296977091,129,0,,False,order_excess,0,
503441,9061939,83,0,,False,order_excess,0,
504461,606362123,57,0,,False,order_excess,0,
505619,55618091,129,0,,False,order_excess,0,
508237,7921381883,131,0,,False,order_excess,0,
509837,13255763,249,0,,False,order_excess,0,
514433,124492787,4617,0,,False,order_excess,0,
515741,1031483,129,0,,False,order_excess,0,
517733,1035467,1761,0,,False,order_excess,0,
518747,702328450819,331,0,,False,order_excess,0,
